Date,Hour,MWh,kWh
1/10/23,23.0,35.14,35140.0
1/10/23,24.0,35.2,35200.0
1/11/23,1.0,35.27,35270.0
1/11/23,2.0,35.04,35040.0
1/11/23,3.0,35.39,35390.0
1/11/23,4.0,35.4,35400.0
1/11/23,5.0,35.38,35380.0
1/11/23,6.0,35.73,35730.0
1/11/23,7.0,36.25,36250.0
1/11/23,8.0,36.31,36310.0
1/11/23,9.0,36.52,36520.0
1/11/23,10.0,36.68,36680.0
1/11/23,11.0,37.0,37000.0
1/11/23,12.0,36.94,36940.0
1/11/23,13.0,37.12,37120.0
1/11/23,14.0,37.34,37340.0
1/11/23,15.0,37.36,37360.0
1/11/23,16.0,37.43,37430.0
1/11/23,17.0,37.22,37220.0
1/11/23,18.0,36.46,36460.0
1/11/23,19.0,36.45,36450.0
1/11/23,20.0,36.41,36410.0
1/11/23,21.0,36.18,36180.0
1/11/23,22.0,36.24,36240.0
1/11/23,23.0,36.48,36480.0
1/11/23,24.0,36.5,36500.0
1/12/23,1.0,36.45,36450.0
1/12/23,2.0,36.45,36450.0
1/12/23,3.0,36.28,36280.0
1/12/23,4.0,36.11,36110.0
1/12/23,5.0,36.48,36480.0
1/12/23,6.0,36.95,36950.0
1/12/23,7.0,37.19,37190.0
1/12/23,8.0,36.76,36760.0
1/12/23,9.0,36.83,36830.0
1/12/23,10.0,37.26,37260.0
1/12/23,11.0,37.58,37580.0
1/12/23,12.0,37.74,37740.0
1/12/23,13.0,37.76,37760.0
1/12/23,14.0,37.29,37290.0
1/12/23,15.0,37.17,37170.0
1/12/23,16.0,37.04,37040.0
1/12/23,17.0,36.9,36900.0
1/12/23,18.0,36.58,36580.0
1/12/23,19.0,36.57,36570.0
1/12/23,20.0,36.25,36250.0
1/12/23,21.0,36.23,36230.0
1/12/23,22.0,36.04,36040.0
1/12/23,23.0,35.89,35890.0
1/12/23,24.0,35.9,35900.0
1/13/23,1.0,36.07,36070.0
1/13/23,2.0,36.14,36140.0
1/13/23,3.0,36.14,36140.0
1/13/23,4.0,36.01,36010.0
1/13/23,5.0,35.76,35760.0
1/13/23,6.0,35.95,35950.0
1/13/23,7.0,35.95,35950.0
1/13/23,8.0,35.93,35930.0
1/13/23,9.0,35.54,35540.0
1/13/23,10.0,36.27,36270.0
1/13/23,11.0,36.3,36300.0
1/13/23,12.0,36.41,36410.0
1/13/23,13.0,36.36,36360.0
1/13/23,14.0,36.47,36470.0
1/13/23,15.0,36.25,36250.0
1/13/23,16.0,36.07,36070.0
1/13/23,17.0,35.99,35990.0
1/13/23,18.0,35.91,35910.0
1/13/23,19.0,35.65,35650.0
1/13/23,20.0,35.65,35650.0
1/13/23,21.0,35.69,35690.0
1/13/23,22.0,35.63,35630.0
1/13/23,23.0,35.7,35700.0
1/13/23,24.0,35.74,35740.0
1/14/23,1.0,35.64,35640.0
1/14/23,2.0,35.5,35500.0
1/14/23,3.0,35.86,35860.0
1/14/23,4.0,35.87,35870.0
1/14/23,5.0,35.91,35910.0
1/14/23,6.0,35.93,35930.0
1/14/23,7.0,35.81,35810.0
1/14/23,8.0,35.78,35780.0
1/14/23,9.0,35.6,35600.0
1/14/23,10.0,35.48,35480.0
1/14/23,11.0,35.89,35890.0
1/14/23,12.0,36.05,36050.0
1/14/23,13.0,35.73,35730.0
1/14/23,14.0,35.79,35790.0
1/14/23,15.0,35.83,35830.0
1/14/23,16.0,35.86,35860.0
1/14/23,17.0,35.82,35820.0
1/14/23,18.0,35.6,35600.0
1/14/23,19.0,35.75,35750.0
1/14/23,20.0,35.38,35380.0
1/14/23,21.0,35.53,35530.0
1/14/23,22.0,35.83,35830.0
1/14/23,23.0,35.86,35860.0
1/14/23,24.0,35.54,35540.0
1/15/23,1.0,35.83,35830.0
1/15/23,2.0,35.91,35910.0
1/15/23,3.0,35.78,35780.0
1/15/23,4.0,35.9,35900.0
1/15/23,5.0,35.96,35960.0
1/15/23,6.0,35.69,35690.0
1/15/23,7.0,35.97,35970.0
1/15/23,8.0,36.05,36050.0
1/15/23,9.0,36.05,36050.0
1/15/23,10.0,35.8,35800.0
1/15/23,11.0,35.58,35580.0
1/15/23,12.0,35.77,35770.0
1/15/23,13.0,35.97,35970.0
1/15/23,14.0,36.11,36110.0
1/15/23,15.0,36.3,36300.0
1/15/23,16.0,36.32,36320.0
1/15/23,17.0,36.43,36430.0
