Date,Hour,kWh,MWh
1/17/23,16.0,"16,547.00",16.55
1/17/23,17.0,"16,592.00",16.59
1/17/23,18.0,"16,547.00",16.55
1/17/23,19.0,"16,356.00",16.36
1/17/23,20.0,"16,200.00",16.2
1/17/23,21.0,"16,135.00",16.14
1/17/23,22.0,"16,015.00",16.02
1/17/23,23.0,"16,041.00",16.04
1/17/23,24.0,"16,219.00",16.22
1/18/23,1.0,"16,265.00",16.27
1/18/23,2.0,"16,258.00",16.26
1/18/23,3.0,"16,287.00",16.29
1/18/23,4.0,"16,271.00",16.27
1/18/23,5.0,"16,262.00",16.26
1/18/23,6.0,"16,232.00",16.23
1/18/23,7.0,"16,232.00",16.23
1/18/23,8.0,"16,200.00",16.2
1/18/23,9.0,"16,255.00",16.26
1/18/23,10.0,"16,262.00",16.26
1/18/23,11.0,"16,381.00",16.38
1/18/23,12.0,"16,488.00",16.49
1/18/23,13.0,"16,540.00",16.54
1/18/23,14.0,"16,631.00",16.63
1/18/23,15.0,"16,663.00",16.66
1/18/23,16.0,"16,644.00",16.64
1/18/23,17.0,"16,634.00",16.63
1/18/23,18.0,"16,579.00",16.58
1/18/23,19.0,"16,595.00",16.6
1/18/23,20.0,"16,605.00",16.61
1/18/23,21.0,"16,657.00",16.66
1/18/23,22.0,"16,715.00",16.72
1/18/23,23.0,"16,835.00",16.84
1/18/23,24.0,"16,942.00",16.94
1/19/23,1.0,"16,926.00",16.93
1/19/23,2.0,"16,848.00",16.85
1/19/23,3.0,"16,770.00",16.77
1/19/23,4.0,"16,699.00",16.7
1/19/23,5.0,"16,683.00",16.68
1/19/23,6.0,"16,702.00",16.7
1/19/23,7.0,"16,718.00",16.72
1/19/23,8.0,"16,692.00",16.69
1/19/23,9.0,"16,748.00",16.75
1/19/23,10.0,"16,809.00",16.81
1/19/23,11.0,"16,790.00",16.79
1/19/23,12.0,"16,910.00",16.91
1/19/23,13.0,"17,097.00",17.1
1/19/23,14.0,"17,324.00",17.32
1/19/23,15.0,"17,480.00",17.48
1/19/23,16.0,"17,033.00",17.03
1/19/23,17.0,"16,741.00",16.74
1/19/23,18.0,"16,602.00",16.6
1/19/23,19.0,"16,446.00",16.45
1/19/23,20.0,"16,300.00",16.3
1/19/23,21.0,"16,187.00",16.19
1/19/23,22.0,"16,090.00",16.09
1/19/23,23.0,"16,090.00",16.09
1/19/23,24.0,"16,022.00",16.02
1/20/23,1.0,"15,976.00",15.98
1/20/23,2.0,"15,892.00",15.89
1/20/23,3.0,"15,837.00",15.84
1/20/23,4.0,"15,795.00",15.8
1/20/23,5.0,"15,740.00",15.74
1/20/23,6.0,"15,733.00",15.73
1/20/23,7.0,"15,720.00",15.72
1/20/23,8.0,"15,685.00",15.69
1/20/23,9.0,"15,708.00",15.71
1/20/23,10.0,"15,759.00",15.76
1/20/23,11.0,"15,785.00",15.79
1/20/23,12.0,"15,834.00",15.83
1/20/23,13.0,"15,905.00",15.91
1/20/23,14.0,"15,951.00",15.95
1/20/23,15.0,"15,976.00",15.98
1/20/23,16.0,"15,986.00",15.99
1/20/23,17.0,"15,947.00",15.95
1/20/23,18.0,"15,882.00",15.88
1/20/23,19.0,"15,821.00",15.82
1/20/23,20.0,"15,779.00",15.78
1/20/23,21.0,"15,746.00",15.75
1/20/23,22.0,"15,759.00",15.76
1/20/23,23.0,"15,789.00",15.79
1/20/23,24.0,"15,782.00",15.78
1/21/23,1.0,"15,753.00",15.75
1/21/23,2.0,"15,733.00",15.73
